Questions,Difficulty 
Explain “Polyglot Persistence” in NoSQL?,3
How does NoSQL DB budget memory?,1
How to script NoSQL DB configuration?,2
Does NoSQL Database Interact With Oracle Database?,1
What is the difference between NoSQL & Mysql DBs’?,2
Explain Oracle NoSQL database?,2
When should I use a NoSQL database instead of a relational database?,3
Compare CouchDB and MongoDB,1
What is CouchDB?,1
What Language is CouchDB Written in?,1
Why Does CouchDB Not Use Mnesia?,1
How do I use transactions with CouchDB?,2
"How do you compare MongoDB, CouchDB and CouchBase?",3
How is PouchDB different from CouchDB?,3
So is CouchDB now going to written in Java?,3
What does IBM’s involvement mean for CouchDB and the community?,2
Mention the main features of CouchDB?,2
What is the use of CouchDB?,2
What is CouchdbKit?,1
What is Python?,1
Python is an interpreted language. Explain.,2
What is the difference between lists and tuples?,2
What is pep 8?,2
What are the Key features of Python?,3
How is Memory managed in Python?,3
What is PYTHONPATH?,1
What are Python Modules?,3
What are python namespaces?,2
Explain Inheritance in Python with an example?,1
What is scope resolution?,1
What is a dictionary in Python?,3
What are functions in Python?,1
What is __init__ in Python?,1
What are the common built-in data types in Python?,1
Watch this Video on Python for Data Science Tutorial,3
What are local variables and global variables in Python?,3
What is type conversion in Python?,3
How to install Python on Windows and set a path variable?,2
What is the difference between Python Arrays and lists?,1
Is python case sensitive?,1
What does [::-1] do?,2
What are Python packages?,2
What are decorators in Python?,1
Is indentation required in Python?,3
"How does break, continue, and pass work?",1
How can you randomize the items of a list in place in Python?,2
How to comment with multiple lines in Python?,1
What type of language is python? Programming or scripting?,2
What are negative indexes and why are they used?,2
"Explain split(), sub(), subn() methods of “re” module in Python?",2
What do you mean by Python literals?,2
What is a map function in Python?,2
What are the generators in python?,3
What are python iterators?,3
Do we need to declare variables with data types in Python?,2
What are Dict and List comprehensions?,3
How do you write comments in python?,2
Is multiple inheritance supported in Python?,2
What is the difference between range & xrange?,3
What is pickling and unpickling?,3
What do you understand by Tkinter?,1
Is Python fully object oriented?,2
Differentiate between NumPy and SciPy?,2
Explain all file processing modes supported in Python?,2
What do file-related modules in Python do? Can you name some file-related modules in Python?,2
Explain the use of the 'with' statement and its syntax?,1
Write a code to display the contents of a file in reverse?,2
Which of the following is an invalid statement?,2
Write a command to open the file c:\hello.txt for writing?,1
What does len() do?,2
What does *args and **kwargs mean?,1
How will you remove duplicate elements from a list?,1
How can files be deleted in Python?,2
How will you read a random line in a file?,1
Write a Python program to count the total number of lines in a text file?,1
What would be the output if I run the following code block?,1
"What is the purpose of is, not and in operators?",1
"Whenever Python exits, why isn’t all the memory de-allocated?",3
How can the ternary operators be used in python?,1
How to add values to a python array?,3
How to remove values to a python array?,2
Write a code to sort a numerical list in Python?,3
Can you write an efficient code to count the number of capital letters in a file?,2
How will you reverse a list in Python?,2
How will you remove the last object from a list in Python?,2
How can you generate random numbers in Python?,1
How will you convert a string to all lowercase?,2
Why would you use NumPy arrays instead of lists in Python?,3
What is Polymorphism in Python?,1
Define encapsulation in Python?,2
What advantages do NumPy arrays offer over (nested) Python lists?,1
What is the lambda function in Python?,3
What is self in Python?,2
What is the difference between append() and extend() methods?,3
How does Python Flask handle database requests?,1
What is docstring in Python?,2
How is Multithreading achieved in Python?,3
What is slicing in Python?,1
"What is functional programming? Does Python follow a functional programming style? If yes, list a few methods to implement functionally oriented programming in Python.",1
Which one of the following is not the correct syntax for creating a set in Python?,3
What is monkey patching in Python?,3
What is the difference between / and // operator in Python?,1
What is pandas?,2
What are dataframes?,2
How to combine dataframes in pandas?,2
How do you identify missing values and deal with missing values in Dataframe?,3
What is regression?,3
What is classification?,1
How do you split the data in train and test dataset in python?,2
What is SVM?,1
Write a code to get the indices of N maximum values from a NumPy array?,2
What is the easiest way to calculate percentiles when using Python?,1
"Write a Python program to check whether a given string is a palindrome or not, without using an iterative method?",3
Write a Python program to calculate the sum of a list of numbers?,3
Write a program in Python to execute the Bubble sort algorithm?,3
Write a program in Python to produce Star triangle?,1
Write a program to produce Fibonacci series in Python?,2
Write a program in Python to check if a number is prime?,2
Write a sorting algorithm for a numerical dataset in Python?,1
Write a Program to print ASCII Value of a character in python?,2
What do you understand by Java?,2
Compare between Java and Python.,3
Outline the major Java features.,1
What do you mean by an object?,2
Distinguish between StringBuffer and StringBuilder in Java programming.,2
"Differentiate between JDK, JRE, and JVM.",1
Define inheritance.,3
Explain method overloading.,3
Compare overloading with overriding.,3
Explain the creation of a thread-safe singleton in Java using double-checked locking.,1
What is a class in Java?,2
Differentiate between an ArrayList and a Vector.,2
Mention the difference between Iterator and Enumeration.,2
Explain the difference between the inner class and the subclass.,1
"Can we execute any code, even before the main method? Explain.",1
How can we restrict inheritance for a class?,3
Java doesn't support multiple inheritance. Why?,2
Are constructors inherited? Can a subclass call the parent's class constructor?,1
Define JSON.,2
What are the advantages of JSON over XML?,3
What is the difference between Java and C++?,1
What is JIT Compiler?,1
What is Classloader?,2
Is an empty .java file name a valid source file name in java?,2
What is the difference between Object-oriented and object-based programming language?,1
How many types of constructors are there in the Java programming language?,1
What is the purpose of a Default constructor in Java?,3
What is the use of a copy constructor in Java?,1
Why is the main method static in Java?,2
Can we declare the static variables and methods in an abstract class?,2
What is Aggregation?,1
What is composition?,1
What is the difference between aggregation and composition?,2
What is object cloning?,2
Can we overload the main method in Java?,3
Explain public static void main(String argos[]) in Java?,1
What are various exception handling keywords in Java?,2
What is the NullPointerException?,1
What is the difference between a constructor and a destructor?,1
Can a Java interface have static methods?,1
How to manually throw an exception in Java programming?,1
Differentiate between ‘==’ and equals()?,3
What are JAR files?,1
What is a WAR file?,3
Differentiate between this() and super() in Java.,1
Name the methods of an object class.,3
Define content negotiation.,2
Can we import the same package/class twice? Will the JVM load the package twice at runtime?,2
"Watch this Java Tutorial for Beginners video:
",3
Define an abstract class.,2
Describe annotations.,3
Java doesn't use pointers. Why?,1
Distinguish between static loading and dynamic class loading.,1
"Struts 1 classes are not thread-safe, whereas Struts 2 classes are thread-safe. Why?",2
Define JAXP and JAXB.,3
Define an enumeration?,2
How can we find the actual size of an object on the heap?,3
Which API is provided by Java for operations on a set of objects?,1
What’s the base class of all exception classes?,2
Why do we use a vector class?,2
What is the difference between transient and volatile variables in Java?,3
Why Map interface does not extend the Collection interface in the Java Collections Framework?,3
Mention the uses of the synchronized block.,2
What are the functions of hashCode() method?,3
What is the default size of the load factor in the hashing-based collection?,3
What are the differences between the JSP custom tags and Java beans?,3
What are wrapper classes in Java?,2
Difference between Stack and Heap Memory in Java?,1
What is Polymorphism?,2
What do you mean by the interface in Java?,1
What is the difference between abstract class and interfaces?,2
Explain data encapsulation in Java?,1
What is a servlet in java?,3
What is a Request Dispatcher?,3
How do cookies work in Servlets?,3
What is the difference between ServletContext vs. ServletConfig?,2
Explain the thread lifecycle in Java?,3
How to distinguish processes from threads?,3
Explain the types of Exceptions in Java?,1
How to write multiple catch statements under a single try block?,2
Difference between the throw and throws keyword?,2
Write the string reversal program without using the in-built function?,2
Write a program to print Fibonacci Series using the recursion concept?,1
Explain the expression language in JSP.,3
What are implicit objects?,3
Define a cookie. What are the differences between a session and a cookie?,3
What is HTTP Tunneling?,2
What is the function of the IOC container in spring?,3
What is lazy loading in hibernate?,1
How can we fetch records using Spring JdbcTemplate?,3
Which is the front controller class of Spring MVC?,2
What are the states of an object in hibernate?,1
How to make an immutable class in hibernate?,3
What is hash-collision in a HashTable? How is it handled in Java?,1
Write a syntax to convert a given collection to a SynchronizedCollection.,3
Write a code to make the Collections read-only.,1
What is meant by binding in RMI?,1
What are latest features introduced in Java 8?,3
Name a few Java 8 annotations.,3
Distinguish between a predicate and a function.,1
Write a code to sort a list of strings using Java 8 lambda expression.,2
What is Nashorn in Java 8?,2
Define a StringJoiner and write a sample code.,3
Can you execute the JavaScript code from Java 8 code base?,3
What is the use of batch processing in JDBC?,1
What are the types of statements supported by JDBC?,2
What is a collection in Java?,2
What is the meaning of constructor overloading in Java?,1
What is the JDBC Driver? ,1
"What is the difference between execute, executeQuery, and executeUpdate?",1
Differentiate between static and dynamic websites.,3
What is PHP most used for?,2
Is PHP a case-sensitive scripting language?,3
What is the meaning of PEAR in PHP?,1
How is a PHP script executed?,2
What are the types of variables present in PHP?,2
What are the variable-naming rules you should follow in PHP?,1
What are the main characteristics of a PHP variable?,3
What is NULL in PHP?,3
How are constants defined in PHP?,1
What is the use of the constant() function in PHP?,1
What are the various constants predefined in PHP?,3
Differentiate between variables and constants in PHP.,2
What does the phrase ‘PHP escape’ mean?,2
Differentiate between PHP4 and PHP5.,2
How are two objects compared in PHP?,2
What is the meaning of break and continue statements in PHP?,1
What are some of the popular frameworks in PHP?,1
What is the use of the final class and the final method in PHP?,2
How does JavaScript interact with PHP?,3
Does PHP interact with HTML?,1
What are the types of arrays supported by PHP?,2
How does the ‘foreach’ loop work in PHP?,1
Differentiate between require() and require_once() functions.,1
What are the data types present in PHP?,1
How can a text be printed using PHP?,2
Is it possible to set infinite execution time in PHP?,3
What is the use of constructors and destructors in PHP?,1
What are some of the top Content Management Systems (CMS) used in PHP?,3
How are comments used in PHP?,1
What is the most used method for hashing passwords in PHP?,3
Differentiate between an indexed array and an associative array.,3
What is the difference between ASP.NET and PHP?,3
What are sessions and cookies in PHP?,2
Is typecasting supported in PHP?,2
Can a form be submitted in PHP without making use of a submit button?,1
Does PHP support variable length argument functions?,1
What is the use of session_start() and session_destroy() functions?,1
How can you open a file in PHP?,2
What are the different types of PHP errors?,2
How can you get the IP address of a client in PHP?,1
What is the use of $message and $$message in PHP?,1
Differentiate between GET and POST methods in PHP.,3
What is the use of lambda functions in PHP?,3
Differentiate between compile-time exception and runtime exception in PHP.,3
What is the meaning of type hinting in PHP?,2
How is a URL connected to PHP?,3
What are the steps to create a new database using MySQL and PHP?,3
How does string concatenation work in PHP?,3
Do you have any certification to boost your candidature for this PHP Developer role?,1
Compare PHP and Java.,3
How can we encrypt a password using PHP?,3
Explain how to submit a form without a submit button.,2
How can we increase the execution time of a PHP script?,1
What is Zend Engine?,3
What library is used for PDF in PHP?,3
What are the new features introduced in PHP7?,2
What is htaccess? Why do we use it and where?,3
What are magic methods?,2
What is meant by PEAR in PHP?,2
Explain soundex() and metaphone().,2
What is Smarty?,2
What is Memcache?,1
How can we execute a PHP script using a command line?,1
What is Linux?,1
Compare Linux with Windows.,3
What are the components of the Linux system?,3
What is LILO?,2
"Suppose, you wish to print a file ‘draft’ with 60 lines on a page. What command would you use?",1
What is LD_LIBRARY_PATH?,1
Name a service that you should disable (which acts both as web and FTP servers) on a Linux server.,3
What does sar provide? Where are the sar logs stored?,1
How to check memory stats and CPU stats as a Linux Admin?,2
How to reduce or shrink the size of the LVM partition?,1
What are the different modes of Network Bonding in Linux?,3
How to check and verify the status of the bond interface?,3
Do you know the Maximum length (in bytes) of the filename in Linux?,3
What are the two different kinds of Linux User Modes?,1
What is Hard Link?,1
What is Soft Link?,2
Check out this video on Linux Shell Tutorial:,3
Explain the features of the Linux system?,1
Why is Linux regarded as a more secure operating system than other operating systems?,2
How can you enhance the security of the password file in Linux?,3
What are the three standard streams in Linux?,2
What command can you use to make a tape archive file of /home directory and send it to the /dev/tape device?,3
What is CLI? ,2
What is GUI?,3
"Suppose, your FTP Server is hacked and the entire server needs to be restored. How would you restore the original kernel system files?",2
Why should you avoid Telnet to administer a Linux system remotely?,2
Differentiate between Linux and Unix,1
Name the four Configuration Management Tools used in UNIX-like operating systems.,3
Mention the difference between BASH and DOS,1
What is the difference between Cron and Anacron?,2
Explain various file permissions in Linux? ,2
"Which command is used to check the number of files, disk space, and each user’s defined quota?",1
What is the name and path of the main system log?,1
"Can we convert a Linux computer into a router in order to enable multiple machines to work on the same Internet connection? If yes, how?",1
What are the different types of modes in VI editor?,1
"In Linux, how would you change the window manager?",1
Mention various Linux directory commands,3
How are shadow passwords given in Linux?,3
List out some Linux distributors?,2
What daemon is used for scheduling commands?,2
What do you know about Linux Shell and its types?,3
What shell does a Linux Administrator assign to a POP3 mail-only account?,3
"If a volume group named VG0 already exists and we need to extend this volume group up to 4 GB, how do we do it?",2
Is there any relation between the modprobe.conf file and network devices?,1
What is YUM?,2
What is the role of Kudzu?,1
What is the difference between ext2 and ext3 file systems?,3
Explain the /proc file system?,2
"In Linux, how can I figure out where a file is stored?",1
How would you create an ext4 file system?,1
"In Linux, how do you stop a running process?",1
How to enable ACLs for the /home partition?,3
What are different techniques for making hash function?,3
What are the issues that hamper the efficiency in sorting a file?,2
What is the use of volatile keyword?,1
Write a C program without using semicolon to print ‘Hello world’,3
What are differences between sizeof operator and strlen function?,2
What is the difference between ,2
When does the compiler not implicitly generate the address of the first element of an array?,2
Is using exit() the same as using return?,3
What is an lvalue?,1
Watch this C Programming and Data Structure by Intellipaat:,2
"What is the difference between goto, longjmp() and setjmp()?",3
What is XOR linked list?,1
What is ‘trie’ in data structure?,2
What do you understand by splay tree?,2
What is Treap?,2
How to implement LRU caching scheme? What data structures should be used?,3
"Suppose, there are two linked lists: L1 and L2 (of same lengths) that intersect at a particular node N1, which is a common endpoint to all other nodes. What are the possibilities to find N1?",2
"Given two keys K1 & K2, write an algorithm to print all the elements between them with K1<=K2 in a BST.",1
How many stacks are required to implement a Queue.,3
Compare SOA & Microservices,1
What is SOA?,1
What are the main features of SOA?,2
Mention the SOA Principles?,3
What are the main benefits of SOA?,3
How do you transform an Enterprise business in a SOA?,2
What is a reusable Service?,3
What are the common pitfalls of SOA?,2
How can you achieve loose coupling in a SOA?,2
What is the most important skill needed to adopt SOA ?technical or cultural?,3
Which approach between top-down and bottom-up methodologies best fits with a SOA in regards of Service identification?,3
"
Find Java Training in Other Regions",1
JBPM Characteristics,3
What is BPM?,2
What is JBPM?,3
What does jBPM do?,3
Mention the main features of JBPM5?,3
What are the advantages of JBPM5?,2
Is the Graphical Process Designer (GPD) only useable in Eclipse? Is there a way to use it standalone?,3
What is a rule engine?,1
What are the advantages of Rule engine?,3
What is global in DRL file?,1
Where to use global variable?,1
Drools Characteristics,1
What is Drool?,1
What is other nomenclature for Drool?,1
What is meant by Knowledge is Everything or KIE?,1
What is the standard supported by Drool?,3
What is JBoss Enterprise BRMS?,1
What is the productized version of Drools?,1
What are the components of JBoss Enterprise Version?,3
What are the features of JBoss Enterprise Web Platform?,2
What are the features of JBoss Enterprise Application or SOA Platform?,1
Who use the Business Rules Engine?,2
What is Business Rules Manager?,3
What is meant by Drools Guvnor and Drools Expert?,2
What is Drools Flow?,3
What is the tool for managing complex event processing in Drools?,1
What is meant by Drools Planner?,2
What is the purpose of dialect in Drools?,2
What is the restriction in using Java code?,3
What is the reason for putting $ symbol before the variables?,2
What is provided by Drools?,1
"What are Drool Workbench, Expert, and Fusion?",2
How to halt process in DRL file?,2
How to remove object from knowledge session?,3
How to fetch and play around with the rules in java code?,2
"Is it possible using round trips between rules modified in Guvnor, loade in the UI, modified and uploaded to Guvnor?",2
Is it possible working with completely custom UI instead of using Guvnor Rule?,1
If there are still rules that need to be managed in Guvnor what steps user should take?,2
What is the global variable in Drools?,1
How should the global variable be used in DRL file?,2
What is the use of global variable?,2
Where global variable should be used?,3
What is not advisable in use of global variables?,1
What is meant by accumulate in DRL Drools?,1
What is meant by Drools Recursive Rules?,3
What are the most important parts of Recursion in Drools?,2
What would be the breaking condition in Fibonacci series?,1
What is JUnit?,3
What are important features of JUnit?,1
What is a Unit Test Case?,3
Why does JUnit only report the first failure in a single test?,3
"In Java, assert is a keyword. Won’t this conflict with JUnit’sassert() method?",2
"How do I test things that must be run in a J2EE container (e.g. servlets, EJBs)?",2
What are JUnit classes? List some of them? ,2
What are annotations and how are they useful in JUnit?,3
What Is JunitTestCase?,1
What is Junit Test Fixture?,2
"
Find best Selenium Training in Other Regions",2
Check out this Spring Tutorial video:,1
What is Spring?,3
What are the features of Spring?,3
Describe the Spring Framework.,3
What is Spring Java-based configuration?,3
Describe some of the standard Spring events.,3
Mention the modules of the Spring Framework.,2
What are the types of dependency injections that Spring supports?,2
What is Spring IoC container?,1
What are Spring beans?,2
What bean scopes does Spring support? Explain them.,1
Explain the bean life cycle in Spring Framework.,2
Compare HTML & XML,2
What is $() in jQuery library?,2
Check out this video on HTML Interview Questions and Answers,1
What are the advantage of using jQuery?,1
Difference between ID selector and class selector in jQuery?,2
Difference between $(this) and this keyword in jQuery?,3
What is main advantage of loading jQuery library using CDN?,3
What is “Semantic HTML?”,2
What is a class? What is an ID?,3
What is Grouping?,1
What is HTML?,1
How do CSS precedence/cascading rules work? How does the !important directive affect the rules?,1
What is Django?,2
Which architectural pattern does Django follow?,2
What is the difference between a project and an app in Django?,3
What is Django Admin Interface?,1
Explain Django’s Request/Response Cycle.,2
What is a model in Django?,3
What are migrations in Django?,2
What are views in Django?,3
What is the use of the include function in the urls.py file in Django?,1
Why is Django called a loosely coupled framework?,1
What is Django ORM?,2
How do templates work in Django?,1
How do we register a model with Django admin?,2
How do we generate a super user in Django?,1
Mention some disadvantages of Django.,3
What is Sessions Framework in Django?,3
What is a cookie in Django?,1
What is a middleware in Django?,2
What is a QuerySet in Django?,3
What is Django REST Framework?,3
What is a context in Django?,1
List some of the caching strategies that Django supports.,1
What is a Meta Class in Django?,3
When should we generate and apply migrations in a Django project and why?,2
What is serialization in Django?,3
What are generic views?,3
Which companies use Django?,2
Which class do we inherit from in order to perform unit tests?,2
Which class do we inherit from in order to perform functional tests?,3
What is the django.test.Client class used for?,2
What are Data Structures?,2
What is the difference between a File Structure and a Data Structure?,3
What is a linked list?,3
Where are Data Structures primarily used?,3
What are the types of searching used in Data Structures?,3
How does binary search work?,1
How are individual elements accessed in an array?,3
What is a queue in Data Structures?,1
What is a binary tree?,2
What is the meaning of stack?,2
What is the working of LIFO?,3
What are multi-dimensional arrays?,3
Are linked lists Linear or Non-linear Data Structures?,1
What is a Binary Search Tree?,1
What is the meaning of FIFO?,2
What is the difference between void and null in Data Structures?,2
What is dynamic memory management?,3
What are push and pop operations in Data Structures?,3
How is a variable stored in memory when using Data Structures?,1
What is merge sort?,3
Why should heap be used over a stack?,3
What is the meaning of Data Abstraction?,2
What is the meaning of a post-fix expression in Data Structures?,2
What is the working of a selection sort?,1
What are signed numbers in Data Structures?,2
What are the minimum nodes binary trees can have?,1
What Data Structures make use of pointers?,1
What is the use of dynamic Data Structures?,3
What is a priority queue?,3
Pointers allocate memory for data storage. True or False?,3
What is the meaning of deque?,3
State the difference between Linear and Non-linear Data Structures.,2
What is the meaning of an AVL tree?,3
How does Huffman’s algorithm work?,3
What are recursive algorithms?,2
How does bubble sort work?,2
Which is the fastest sorting algorithm available?,2
What is the postfix form of: (X + Y) * ( Z - C),2
Where are Tree Data Structures used?,1
What are the Data Structures that are used in graphs?,2
What are the Data Structures that are used in DFS and BFS algorithms?,3
What are the time complexities of linear search and binary search?,3
Where are Multi-linked Data Structures used?,2
What is the method used for inorder traversal in trees?,3
What is the working of post-order traversal in trees?,2
What are the disadvantages of implementing queues using arrays?,1
How can elements be inserted in the circular queue?,1
What is the use of void pointers?,2
What is the meaning of the stack overflow condition?,3
Have you earned any sort of certification to boost your Data Structures learning?,2
What is the difference between Node.js and JavaScript?,1
What is Node.js?,1
Briefly explain the working of Node.js.,2
Where is Node.js used?,3
What is the difference between Node.js and Angular?,1
Why is Node.js single-threaded?,3
What are the different API functions supported by Node.js?,2
What is the difference between synchronous and asynchronous functions?,1
What is the control flow function?,3
Why is Node.js so popular these days?,1
What is an event loop in Node.js?,1
What are the asynchronous tasks that should occur in an event loop?,2
What is the order of execution in control flow statements?,3
What are the input arguments for an asynchronous queue?,1
Are there any disadvantages to using Node.js?,3
What is the primary reason to use the event-based model in Node.js?,3
How can you import external libraries into Node.js?,3
What is meant by event-driven programming in Node.js?,3
What is the difference between Ajax and Node.js?,1
What is the framework that is used majorly in Node.js today?,2
What are the security implementations that are present in Node.js?,1
What is the meaning of a test pyramid?,1
What is Libuv?,2
Why does Google use the V8 engine for Node.js?,1
What is the difference between spawn and fork methods in Node.js?,1
What is the use of middleware in Node.js?,2
What are global objects in Node.js?,3
Why is assert used in Node.js?,1
What are stubs in Node.js?,3
How is a test pyramid implemented using the HTML API in Node.js?,3
Why is a buffer class used in Node.js?,3
Why is ExpressJS used?,3
What is the use of the connect module in Node.js?,2
What are streams in Node.js?,1
What are the types of streams available in Node.js?,3
What is the use of REPL in Node.js?,1
What is meant by tracing in Node.js?,3
Where is package.json used in Node.js?,3
What is the difference between readFile and createReadStream in Node.js?,3
What is the use of the crypto module in Node.js?,2
What is a passport in Node.js?,1
How to get information about a file in Node.js?,2
How does the DNS lookup function work in Node.js?,2
What is the use of EventEmitter in Node.js?,2
What is the difference between setImmediate() and setTimeout()?,3
What is the use of module.exports in Node.js?,2
Why do you think you are the right fit for this Node.js role?,2
Do you have any past Node.js work experience?,1
Do you have any experience working in the same industry like ours?,1
Do you have any certification to boost your candidature for this Node.js role?,1
"Check out our comprehensively put together Java Tutorial on YouTube, designed especially for beginners:",1
What are some of the important features that are introduced in Java 8?,3
What is a lambda expression?,2
What are the most important advantages of using Java 8?,3
Describe the syntax of a lambda expression.,3
What is the use of the @FunctionalInterface annotation?,3
What is the meaning of functional interfaces in Java 8?,1
What is the use of the String::ValueOf expression in Java 8?,1
Is it possible to create a custom functional interface in Java 8?,3
What is the meaning of method reference in Java 8?,3
Differentiate between a predicate and a function in Java 8.,2
What are default methods in Java 8?,1
What are the core API classes for date and time in Java 8?,1
What is the easiest way to print the current date and time using the new APIs in Java 8?,3
What were the issues that were fixed with the new Date and Time API of Java 8?,1
What are PermGen and Metaspace in Java 8?,1
Differentiate between intermediate and terminal operations in Java 8.,3
Can the following piece of code compile successfully?,1
What is the use of the optional keyword in Java 8?,2
What is stream pipelining used for?,3
What is JJS in Java 8?,1
What is the code to sort strings using the Java 8 lambda expression?,3
Is it possible to call a static method of any interface in a class using Java 8?,3
Can you briefly explain the working of the random keyword in Java 8?,1
What are collectors in Java 8?,1
What is the easiest way to print the sum of all of the numbers present in a list using Java 8?,2
Can JavaScript code be executed from Java 8 codebase?,1
When is an ideal situation to use the Stream API in Java 8?,2
How can you print the date of the next occurring Wednesday using Java 8?,3
Which class implements the encoder used for encoding byte data in Java 8?,3
How is a Base64 decoder created in Java 8?,3
How is a Base64 encoder that encodes URLs created in Java 8?,3
What is a supplier in Java 8?,3
What is a consumer in Java 8?,2
Differentiate between findFirst() and findAny() in the Stream API of Java 8.,1
Differentiate between Collection API and Stream API in Java 8.,1
What is the meaning of a Spliterator in Java 8?,1
Differentiate between Spliterator and a regular iterator in Java 8.,3
Can you name the common types of functional interfaces in the standard library?,2
What are the similarities between map and flatMap stream operations in Java 8?,3
Can you give examples of intermediate operations in Java 8?,1
What are some of the examples of terminal operations in Java 8?,3
What is the easiest way to find and remove duplicate elements from a list using Java 8?,3
What is the use of the peek() method in Java 8?,1
What is the syntax of a predicate interface in Java 8?,1
What is the easiest way to convert an array into a stream in Java 8?,1
Why do you think you are the right fit for this Java Developer role?,1
Do you have any past work experience in a production environment involving Java?,3
Do you have any experience working in the same industry as ours?,3
Do you have any certification to boost your candidature for this Java Developer role?,1
What is .NET framework?,2
What are some of the common components of .NET?,2
What does JIT stand for in .NET?,3
What is the meaning of MSIL?,2
What is CTS?,1
What is CLS?,1
What does CLR stand for in .NET?,3
What is the difference between managed code and unmanaged code in .NET?,1
How does managed code execute in the .NET framework?,2
What is the meaning of state management in .NET?,1
What is the difference between an object and a class in .NET?,2
What is the difference between system.stringbuilder and system.string in .NET?,2
What is the meaning of LINQ?,3
What is an assembly in .NET?,1
What are some of the components of an assembly in .NET?,2
What is the meaning of caching?,3
What is the difference between a function and a stored procedure in .NET?,3
What are the constructor types present in C# .NET?,2
What are some of the advantages of using a session?,2
Is it possible to manually set a timeout for a session in .NET?,2
What is the meaning of boxing and unboxing in .NET?,3
What is the use of manifest in the .NET framework?,1
What are memory-mapped files used for in .NET?,3
What is the meaning of CAS in .NET?,2
What is the meaning of garbage collection?,3
What is the use of GAC in .NET?,3
What are the three generations of garbage collection in .NET?,2
What is MVC?,3
What are the types of memories supported in the .NET framework?,1
What is the use of delegation in .NET?,1
What is the difference between an abstract class and an interface in .NET?,3
What is the meaning of AutoPostBack in .NET?,2
What are the parameters that control connection pooling behaviors in .NET?,3
What are the requirements needed for connection pooling?,2
How many elements can a tuple hold in .NET?,1
Differentiate between the user control and the custom control in the .NET framework.,3
What is the meaning of role-based security in .NET?,1
Can themes be applied to ASP.NET applications?,1
What are some of the templates that are present in Repeater control?,2
How is the status of a DataReader checked in .NET?,2
What do you mean by cross-page posting?,2
What is the use of MIME in .NET?,1
What are the types of cookies available in ASP.NET?,1
What are some of the security controls present in ASP.NET?,2
What is the order of the events that take place in a page life cycle?,3
Why are you applying for the .NET Developer role in our company?,1
Can you rate yourself on a scale of 1–10 depending on your proficiency in .NET?,3
Has your college degree helped you with .NET development in any way?,2
What skills should a successful .NET Developer possess?,1
Have you earned any sort of certification to boost your opportunities as a .NET Developer?,3
What do daily stand-up meetings entail?,3
Explain the product backlog in Scrum.,2
What is a release candidate?,2
What are the most important components of Agile?,1
What are the project management tools used in Agile?,1
How can storyboard be defined in Agile?,3
How much time should a person expect to spend on Scrum Master activities?,3
What qualities should a good Agile Tester have?,3
"What is difference between Epic, User Stories, and Tasks?",3
How is the velocity of sprint measured?,3
How does the Agile testing (development) methodology differ from other testing (development) methodologies?,2
Explain velocity in Agile.,1
Watch this ITIL Tutorial for Beginners video:,2
How does ITIL help minimize the total cost of ownership (TCO) for IT investments?,3
Is there a trade-off between return and risk?,3
What is the difference between end users and customers?,3
What type of information is stored in a CMDB?,3
What is a service request?,1
What is ISO/IEC 27002?,3
"Explain Service Portfolio, Service Catalog, and Service Pipeline.",2
What is the difference between ITIL v2 and v3?,2
What are the different knowledge management systems?,2
What are the ITIL-based models adopted by an organization?,1
"What is the relation between availability percentage, availability service time, and downtime?",1
Which two service management processes will most likely use risk analysis and management methodology?,1
What is a plan-do-check-act (PDSA) cycle?,2
What type of information is captured in an information security policy?,1
What is a balanced scorecard?,2
"Suppose a Service Level Manager requires confirmation regarding the time (say, within 10 seconds) taken by the internal Service Desk to answer a certain percentage of calls. In what document would the Service Desk’s agreement to this requirement be recorded?",1
Which ITIL process should ensure that the organization is aware of new and changing technologies?,3
How is IT Service Continuity Management (ITSCM) related to Business Continuity Planning (BCP)?,2
"After a change has been implemented, an evaluation is performed. What is this evaluation called?",1
Who decides the categorization of a proposed change within an ITIL Change Management process?,1
What is Prince2?,3
Define Project?,3
What are the key features of prince 2?,1
Define Plan?,1
What are the levels of plan?,2
What are the planning steps?,1
What is the process model of prince2?,2
What is directing a project (DP)?,3
During which process is the request to approve the next Stage Plan made? ,1
Which process allows non-PRINCE2 practices to be integrated into a PRINCE2 project environment when creating products?,2
Which role is responsible for producing a Product Status Account?,1
Which role is responsible for drafting the outline Business Case?,1
Which role confirms stage and project progress against agreed tolerances?,1
What are the two types of progress controls provided by PRINCE2?,2
Which process triggers the request to deliver a project?,1
Who is responsible for communicating with stakeholders?,1
Which process can be carried out without using PRINCE2?,3
During which process is a Checkpoint Report produced?,3
Which document contains the planned and actual dates for product approval and hand-over?,1
Which PRINCE2 theme addresses the ongoing viability of the different project plans?,3
Which role maintains the Quality Register?,3
Which role has the responsibility of setting project tolerances?,2
Which role is responsible for defining and verifying user requirements and expectations?,2
What is the purpose of configuration management?,2
Which document defines the acceptance criteria and roles for the project?,2
During which Process is the Work Package status reviewed?,2
Who is responsible for determining the Change Authority and change budget?,2
"According to PRINCE2 processes, during which particular process is the outline business case prepared?",1
What is the objective of the Directing a Project process?,3
What is the purpose of the Managing Product Delivery process?,2
What is the primary objective of the Quality Review Technique?,2
What is the purpose of a Checkpoint Report?,3
